SPECIES	BARK_VOL_PCT	WOOD_SPGR	BARK_SPGR	MC_WOOD	MC_BARK
876	15.16	0.52	0.53	75.13	80.49
877	15.16	0.52	0.53	75.13	80.49
882	15.16	0.52	0.53	75.13	80.49
883	15.16	0.52	0.53	75.13	80.49
884	15.16	0.52	0.53	75.13	80.49
885	15.16	0.52	0.53	75.13	80.49
886	15.16	0.52	0.53	75.13	80.49
887	15.16	0.52	0.53	75.13	80.49
888	15.16	0.52	0.53	75.13	80.49
890	15.16	0.52	0.53	75.13	80.49
891	15.16	0.52	0.53	75.13	80.49
895	15.16	0.52	0.53	75.13	80.49
896	15.16	0.52	0.53	75.13	80.49
897	15.16	0.52	0.53	75.13	80.49
901	15.00	0.66	0.29	40.83	87.89
902	15.00	0.66	0.29	41.00	88.00
906	15.16	0.52	0.53	75.13	80.49
907	15.16	0.52	0.53	75.13	80.49
908	15.16	0.52	0.53	75.13	80.49
909	15.16	0.52	0.53	75.13	80.49
911	15.16	0.52	0.53	75.13	80.49
912	15.16	0.52	0.53	75.13	80.49
913	15.16	0.52	0.53	75.13	80.49
914	15.16	0.52	0.53	75.13	80.49
915	15.16	0.52	0.53	75.13	80.49
919	15.16	0.52	0.53	75.13	80.49
920	16.00	0.36	0.50	127.00	99.00
921	16.00	0.36	0.50	127.00	99.00
922	16.00	0.36	0.50	127.02	98.72
923	16.00	0.36	0.50	127.00	99.00
924	16.00	0.36	0.50	127.00	99.00
925	16.00	0.36	0.50	127.00	99.00
926	16.00	0.36	0.50	127.00	99.00
927	16.00	0.36	0.50	127.00	99.00
928	16.00	0.36	0.50	127.00	99.00
929	16.00	0.36	0.50	127.00	99.00
931	15.00	0.42	0.50	67.88	89.10
934	15.16	0.52	0.53	75.13	80.49
935	15.16	0.52	0.53	75.13	80.49
936	15.16	0.52	0.53	75.13	80.49
937	15.16	0.52	0.53	75.13	80.49
940	15.16	0.52	0.53	75.13	80.49
950	10.53	0.32	0.48	105.00	90.00
951	10.50	0.32	0.48	105.34	90.31
952	10.53	0.32	0.48	105.00	90.00
953	10.53	0.32	0.48	105.00	90.00
970	14.00	0.54	0.43	66.00	91.08
971	14.00	0.60	0.45	41.56	74.51
972	14.00	0.46	0.44	94.00	78.47
973	14.00	0.59	0.45	65.69	74.51
974	14.00	0.54	0.43	66.00	91.08
975	14.00	0.48	0.29	76.95	170.79
976	14.00	0.54	0.43	66.00	91.08
977	14.00	0.57	0.50	51.00	57.06
981	15.00	0.51	0.55	66.54	42.78
982	15.16	0.52	0.53	75.13	80.49
986	15.16	0.52	0.53	75.13	80.49
987	15.16	0.52	0.53	75.13	80.49
988	15.16	0.52	0.53	75.13	80.49
989	15.16	0.52	0.53	75.13	80.49
990	15.16	0.52	0.53	75.13	80.49
991	15.16	0.52	0.53	75.13	80.49
992	15.16	0.52	0.53	75.13	80.49
993	15.16	0.52	0.53	75.13	80.49
994	15.16	0.52	0.53	75.13	80.49
995	15.16	0.52	0.53	75.13	80.49
996	15.16	0.52	0.53	75.13	80.49
997	15.16	0.52	0.53	75.13	80.49
998	15.16	0.52	0.53	75.13	80.49
999	15.16	0.52	0.53	75.13	80.49
10	11.76	0.36	0.49	84.00	62.43
11	14.00	0.40	0.44	70.00	63.90
12	12.00	0.33	0.40	118.54	100.32
14	11.76	0.36	0.49	84.00	62.43
15	12.00	0.37	0.56	103.56	63.12
16	11.76	0.36	0.49	84.00	62.43
17	12.00	0.35	0.57	106.05	63.07
18	11.76	0.36	0.49	84.00	62.43
19	10.80	0.31	0.50	44.74	63.46
20	10.80	0.36	0.44	113.66	20.18
21	11.76	0.36	0.49	84.00	62.43
22	10.80	0.37	0.49	29.94	63.53
40	11.58	0.37	0.40	77.33	92.00
41	11.60	0.39	0.40	74.00	64.27
42	11.60	0.42	0.40	71.71	112.35
43	11.60	0.31	0.40	86.09	100.32
50	14.31	0.41	0.42	74.29	70.50
51	14.31	0.41	0.42	74.29	70.50
52	14.31	0.41	0.42	74.29	70.50
53	14.31	0.41	0.42	74.29	70.50
54	14.31	0.41	0.42	74.29	70.50
55	14.31	0.41	0.42	74.29	70.50
56	14.31	0.41	0.42	74.29	70.50
57	12.00	0.45	0.40	36.25	60.00
58	12.00	0.45	0.40	36.25	60.00
59	12.00	0.45	0.40	36.25	60.00
60	12.00	0.45	0.40	36.25	60.00
61	12.00	0.45	0.40	36.25	60.00
62	12.00	0.45	0.40	36.25	60.00
63	12.00	0.48	0.40	33.54	60.25
64	12.00	0.45	0.40	36.25	60.00
65	12.00	0.68	0.40	35.00	60.25
66	12.00	0.45	0.40	36.25	60.00
67	12.00	0.42	0.40	41.16	60.25
68	12.00	0.44	0.40	34.75	60.25
69	12.00	0.45	0.40	36.25	60.00
70	14.00	0.49	0.32	57.00	81.50
71	14.00	0.49	0.30	53.71	97.63
72	14.00	0.49	0.32	57.00	81.50
73	14.00	0.48	0.33	60.25	65.12
81	17.00	0.35	0.25	106.05	28.20
90	12.56	0.36	0.44	59.20	80.60
91	12.56	0.36	0.44	59.20	80.60
92	12.56	0.36	0.44	59.20	80.60
93	11.20	0.33	0.51	89.39	79.11
94	13.00	0.37	0.39	51.59	76.69
95	13.00	0.38	0.42	47.60	90.78
96	12.56	0.36	0.44	59.20	80.60
97	13.00	0.37	0.32	47.27	75.28
98	12.50	0.33	0.55	60.24	80.65
100	16.13	0.43	0.40	76.13	68.38
101	16.13	0.43	0.40	76.13	68.38
102	16.13	0.43	0.40	76.13	68.38
103	12.00	0.39	0.38	105.46	68.68
104	16.13	0.43	0.40	76.13	68.38
105	14.00	0.40	0.41	100.32	91.53
106	13.40	0.50	0.40	28.20	60.25
107	15.00	0.46	0.45	32.39	88.75
108	8.90	0.38	0.38	64.47	64.47
109	16.13	0.43	0.40	76.13	68.38
110	16.00	0.47	0.35	77.29	60.25
111	18.00	0.54	0.35	72.12	87.74
112	16.13	0.43	0.40	76.13	68.38
113	13.40	0.37	0.50	94.91	12.18
114	16.13	0.43	0.40	76.13	68.38
115	13.40	0.41	0.45	75.90	24.64
116	25.60	0.37	0.36	103.56	33.55
117	25.60	0.34	0.35	130.00	87.74
118	16.13	0.43	0.40	76.13	68.38
119	12.60	0.36	0.47	55.80	84.12
120	22.00	0.45	0.45	60.26	42.44
121	14.00	0.54	0.45	63.22	88.75
122	25.60	0.38	0.35	89.78	32.77
123	13.40	0.49	0.45	76.61	60.26
124	13.40	0.40	0.40	100.02	60.25
